id,name,common_name,super_category,kingdom,phylum,class,order,family,genus,specific_epithet
31,Mangora acalypha,Cricket-bat Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Mangora,acalypha
32,Mangora placida,Tuft-legged Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Mangora,placida
33,Mecynogea lemniscata,Basilica Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Mecynogea,lemniscata
34,Micrathena gracilis,Spined Micrathena,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,gracilis
35,Micrathena mitrata,White Micrathena,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,mitrata
36,Micrathena sagittata,Arrow-shaped Micrathena,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,sagittata
37,Neoscona arabesca,Arabesque Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,arabesca
38,Neoscona crucifera,Hentz's Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,crucifera
39,Neoscona domiciliorum,Red-femured Spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,domiciliorum
40,Neoscona oaxacensis,Western Spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,oaxacensis
41,Nephila pilipes,Giant Golden Orb-weaving Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nephila,pilipes
42,Nuctenea umbratica,Walnut Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nuctenea,umbratica
43,Thelacantha brevispina,Asian Spinybacked Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Thelacantha,brevispina
44,Trichonephila clavata,Jorō Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,clavata
45,Trichonephila clavipes,Golden Silk Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,clavipes
46,Trichonephila edulis,Edible Golden Silk Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,edulis
47,Trichonephila fenestrata,Hairy Golden Orb-weaving Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,fenestrata
48,Trichonephila plumipes,Tiger Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,plumipes
49,Verrucosa arenata,Arrowhead Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Verrucosa,arenata
50,Zygiella x-notata,Silver-sided Sector Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,x-notata
51,Cheiracanthium mildei,Yellow Sac Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Cheiracanthiidae,Cheiracanthium,mildei
52,Nyssus coloripes,Spotted ground swift,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Corinnidae,Nyssus,coloripes
53,Badumna longinqua,Grey House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Desidae,Badumna,longinqua
54,Dysdera crocata,Woodlouse Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Dysderidae,Dysdera,crocata
55,Kukulcania hibernalis,Southern House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Filistatidae,Kukulcania,hibernalis
56,Herpyllus ecclesiasticus,Parson Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Herpyllus,ecclesiasticus
57,Frontinella pyramitela,Bowl and Doily Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Frontinella,pyramitela
58,Neriene radiata,Filmy Dome Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Neriene,radiata
59,Hogna radiata,Radiated Wolf Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Hogna,radiata
60,Rabidosa rabida,Rabid Wolf Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Rabidosa,rabida
61,Oxyopes salticus,Striped Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Oxyopes,salticus
62,Oxyopes scalaris,Western Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Oxyopes,scalaris
63,Peucetia viridans,Green Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Peucetia,viridans
64,Holocnemus pluchei,Marbled Cellar Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Holocnemus,pluchei
65,Pholcus phalangioides,Skull Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Pholcus,phalangioides
66,Dolomedes albineus,Whitebanded Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,albineus
67,Dolomedes minor,Nurseryweb Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,minor
68,Dolomedes scriptus,Striped Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,scriptus
69,Dolomedes tenebrosus,Dark Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,tenebrosus
70,Dolomedes triton,Six-spotted Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,triton
71,Pisaura mirabilis,European Nursery Web spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Pisaura,mirabilis
72,Pisaurina mira,American Nursery Web Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Pisaurina,mira
73,Anasaitis canosa,Twinflagged Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Anasaitis,canosa
74,Attulus fasciger,Asiatic Wall Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Attulus,fasciger
75,Colonus hesperus,Colonus hesperus,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Colonus,hesperus
76,Colonus sylvanus,Sylvan Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Colonus,sylvanus
77,Eris militaris,Bronze Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Eris,militaris
78,Hasarius adansoni,Adanson's House Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,adansoni
79,Helpis minitabunda,Bronze hopper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Helpis,minitabunda
80,Hentzia mitrata,White-jawed Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,mitrata
81,Hentzia palmarum,Common Hentz Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,palmarum
82,Hypoblemum griseum,White banded house jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hypoblemum,griseum
83,Lyssomanes viridis,Magnolia Green Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Lyssomanes,viridis
84,Maevia inclemens,Dimorphic Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Maevia,inclemens
85,Marpissa muscosa,Fencepost jumping spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Marpissa,muscosa
86,Menemerus bivittatus,Gray Wall Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Menemerus,bivittatus
87,Menemerus semilimbatus,Menemerus semilimbatus,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Menemerus,semilimbatus
88,Metacyrba taeniola,Ribbon Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Metacyrba,taeniola
89,Naphrys pulex,Flea Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Naphrys,pulex
90,Paraphidippus aurantius,Golden Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Paraphidippus,aurantius
91,Pelegrina galathea,Peppered Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Pelegrina,galathea
92,Phidippus audax,Bold Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,audax
93,Phidippus clarus,Brilliant Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,clarus
94,Phidippus johnsoni,Johnson's Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,johnsoni
95,Philaeus chrysops,Red-bellied Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Philaeus,chrysops
96,Platycryptus undatus,Tan Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Platycryptus,undatus
97,Plexippus paykulli,Pantropical Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Plexippus,paykulli
98,Salticus scenicus,Zebra Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticus,scenicus
99,Sassacus vitis,Buttonhook Leaf-beetle Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Sassacus,vitis
100,Trite auricoma,Golden-brown Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Trite,auricoma
101,Trite planiceps,Black-headed Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Trite,planiceps
102,Loxosceles reclusa,Brown Recluse,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,reclusa
103,Heteropoda venatoria,Giant Crab Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,venatoria
104,Micrommata virescens,Green Huntsman Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Micrommata,virescens
105,Olios giganteus,Giant Crab Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Olios,giganteus
106,Leucauge argyra,Leucauge argyra,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,argyra
107,Leucauge argyrobapta,Mabel Orchard Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,argyrobapta
108,Leucauge venusta,Orchard Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,venusta
109,Aphonopelma chalcodes,Desert Blonde Tarantula,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,chalcodes
110,Aphonopelma eutylenum,California Ebony Tarantula,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,eutylenum
111,Aphonopelma hentzi,Texas Brown Tarantula,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,hentzi
112,Aphonopelma iodius,Desert Tarantula,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,iodius
113,Enoplognatha ovata,Common candy-striped spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Enoplognatha,ovata
114,Latrodectus geometricus,Brown Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,geometricus
115,Latrodectus hasselti,Redback Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,hasselti
116,Latrodectus hesperus,Western Black Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,hesperus
117,Latrodectus katipo,Katipō,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,katipo
118,Latrodectus mactans,Southern Black Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,mactans
119,Latrodectus variolus,Northern Black Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,variolus
120,Parasteatoda tepidariorum,Common House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Parasteatoda,tepidariorum
121,Steatoda capensis,Brown House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,capensis
122,Steatoda grossa,False Black Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,grossa
123,Steatoda nobilis,Noble False Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,nobilis
124,Steatoda triangulosa,Triangulate Comb-foot,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,triangulosa
125,Misumena vatia,Goldenrod Crab Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Misumena,vatia
126,Misumenoides formosipes,white-banded crab spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Misumenoides,formosipes
127,Sidymella trapezia,Trapezoid Crab Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Sidymella,trapezia
128,Synema globosum,Napoleon Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Synema,globosum
129,Thomisus onustus,Flower Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Thomisus,onustus
130,Zoropsis spinimana,Mediterranean Spiny False Wolf Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Zoropsidae,Zoropsis,spinimana
131,Aceria parulmi,Elm Finger Gall Mite,Arachnids,Animalia,Arthropoda,Arachnida,Endeostigmata,Eriophyidae,Aceria,parulmi
132,Aculops rhois,Poison Ivy Leaf Mite,Arachnids,Animalia,Arthropoda,Arachnida,Endeostigmata,Eriophyidae,Aculops,rhois
133,Aculus tetanothrix,Willow Bead Gall Mite,Arachnids,Animalia,Arthropoda,Arachnida,Endeostigmata,Eriophyidae,Aculus,tetanothrix
134,Eriophyes cerasicrumena,Black Cherry Leaf Gall,Arachnids,Animalia,Arthropoda,Arachnida,Endeostigmata,Eriophyidae,Eriophyes,cerasicrumena
135,Eriophyes tiliae,Red Nail Gall Mite,Arachnids,Animalia,Arthropoda,Arachnida,Endeostigmata,Eriophyidae,Eriophyes,tiliae
136,Vasates quadripedes,maple bladdergall mite,Arachnids,Animalia,Arthropoda,Arachnida,Endeostigmata,Eriophyidae,Vasates,quadripedes
137,Amblyomma americanum,Lone Star Tick,Arachnids,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Amblyomma,americanum
138,Dermacentor occidentalis,Pacific Coast Tick,Arachnids,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Dermacentor,occidentalis
139,Dermacentor variabilis,American Dog Tick,Arachnids,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Dermacentor,variabilis
140,Ixodes pacificus,Western Blacklegged Tick,Arachnids,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Ixodes,pacificus
141,Ixodes ricinus,Castor Bean Tick,Arachnids,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Ixodes,ricinus
142,Ixodes scapularis,Blacklegged Tick,Arachnids,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Ixodes,scapularis
143,Mitopus morio,Saddleback Harvestman,Arachnids,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Mitopus,morio
144,Opilio canestrinii,Canestrini's Harvestman,Arachnids,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Opilio,canestrinii
145,Phalangium opilio,European Harvestman,Arachnids,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Phalangium,opilio
146,Leiobunum rotundum,Leiobunum rotundum,Arachnids,Animalia,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,Leiobunum,rotundum
147,Leiobunum townsendi,Leiobunum townsendi,Arachnids,Animalia,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,Leiobunum,townsendi
148,Leiobunum vittatum,Eastern Harvestman,Arachnids,Animalia,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,Leiobunum,vittatum
149,Centruroides sculpturatus,Arizona Bark Scorpion,Arachnids,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,sculpturatus
150,Centruroides vittatus,Striped Bark Scorpion,Arachnids,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,vittatus
151,Hadrurus arizonensis,Desert Hairy Scorpion,Arachnids,Animalia,Arthropoda,Arachnida,Scorpiones,Caraboctonidae,Hadrurus,arizonensis
152,Paravaejovis puritanus,Paravaejovis puritanus,Arachnids,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Paravaejovis,puritanus
153,Paravaejovis spinigerus,Stripe-tailed Scorpion,Arachnids,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Paravaejovis,spinigerus
154,Paruroctonus silvestrii,California common scorpion,Arachnids,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Paruroctonus,silvestrii
155,Uroctonus mordax,Western Forest Scorpion,Arachnids,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax
156,Vaejovis carolinianus,Southern Devil Scorpion,Arachnids,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Vaejovis,carolinianus
157,Hemiscolopendra marginata,Eastern Bark Centipede,Animalia,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Hemiscolopendra,marginata
158,Scolopendra cingulata,Mediterranean Banded Centipede,Animalia,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,cingulata
159,Scolopendra heros,Giant Desert Centipede,Animalia,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,heros
160,Scolopendra polymorpha,Common Desert Centipede,Animalia,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,polymorpha
161,Scutigera coleoptrata,House Centipede,Animalia,Animalia,Arthropoda,Chilopoda,Scutigeromorpha,Scutigeridae,Scutigera,coleoptrata
162,Ommatoiulus moreleti,Portuguese Millipede,Animalia,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Ommatoiulus,moreleti
163,Oxidus gracilis,Greenhouse Millipede,Animalia,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,Oxidus,gracilis
164,Apheloria virginiensis,Black-and-gold Flat Millipede,Animalia,Animalia,Arthropoda,Diplopoda,Polydesmida,Xystodesmidae,Apheloria,virginiensis
165,Harpaphe haydeniana,Yellow-spotted Millipede,Animalia,Animalia,Arthropoda,Diplopoda,Polydesmida,Xystodesmidae,Harpaphe,haydeniana
166,Anadenobolus monilicornis,Bumblebee Millipede,Animalia,Animalia,Arthropoda,Diplopoda,Spirobolida,Rhinocricidae,Anadenobolus,monilicornis
167,Trigoniulus corallinus,Rusty Millipede,Animalia,Animalia,Arthropoda,Diplopoda,Spirobolida,Trigoniulidae,Trigoniulus,corallinus
168,Lepas anatifera,Pelagic Gooseneck Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia,Lepadiformes,Lepadidae,Lepas,anatifera
169,Lepas anserifera,Goose Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia,Lepadiformes,Lepadidae,Lepas,anserifera
170,Pollicipes polymerus,Goose Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia,Scalpelliformes,Pollicipedidae,Pollicipes,polymerus
171,Balanus glandula,Pacific Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,glandula
172,Semibalanus balanoides,Northern Rock Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Semibalanus,balanoides
173,Semibalanus cariosus,Thatched Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Semibalanus,cariosus
174,Tetraclita rubescens,Pink Volcano Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia,Sessilia,Tetraclitidae,Tetraclita,rubescens
175,Aptera fusca,Cape Mountain Cockroach,Insects,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Aptera,fusca
176,Panchlora nivea,Banana Cockroach,Insects,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Panchlora,nivea
177,Pycnoscelus surinamensis,Surinam Cockroach,Insects,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,surinamensis
178,Blatta orientalis,Oriental Cockroach,Insects,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Blatta,orientalis
179,Periplaneta americana,American Cockroach,Insects,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,americana
180,Periplaneta australasiae,Australian Cockroach,Insects,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,australasiae
181,Periplaneta fuliginosa,Smoky-brown Cockroach,Insects,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,fuliginosa
182,Pseudomops septentrionalis,Pale-bordered Field Cockroach,Insects,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Pseudomops,septentrionalis
183,Arrhenodes minutus,Oak Timberworm,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Brentidae,Arrhenodes,minutus
184,Agrilus planipennis,Emerald Ash Borer,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,planipennis
185,Buprestis aurulenta,Golden Buprestid Beetle,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Buprestis,aurulenta
186,Euchroma giganteum,Ceiba Borer Beetle,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Euchroma,giganteum
187,Atalantycha bilineata,Two-lined Leatherwing,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Atalantycha,bilineata
188,Cantharis fusca,Dark Sailor Beetle,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,fusca
189,Cantharis livida,Cantharis livida,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,livida
190,Cantharis rustica,Rustic Sailor Beetle,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,rustica
191,Chauliognathus basalis,Colorado Soldier Beetle,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Chauliognathus,basalis
192,Chauliognathus marginatus,Margined Leatherwing Beetle,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Chauliognathus,marginatus
193,Chauliognathus pensylvanicus,Goldenrod Soldier Beetle,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Chauliognathus,pensylvanicus
194,Rhagonycha fulva,Common Red Soldier Beetle,Insects,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,fulva
