label,parent_label,idx,parent_idx
['character'],['attribute'],78,12
['depth'],['attribute'],79,12
['state'],['attribute'],80,12
['solute'],['matter'],81,10
['publication'],['communication'],82,13
"['signal', 'signaling', 'sign']",['communication'],83,13
"['whole', 'unit']","['object', 'physical_object']",84,5
['personality'],['attribute'],85,12
"['cheerfulness', 'cheer', 'sunniness', 'sunshine']",['attribute'],86,12
"['charm', 'good_luck_charm']","['object', 'physical_object']",87,5
"['curio', 'curiosity', 'oddity', 'oddment', 'peculiarity', 'rarity']","['object', 'physical_object']",88,5
['quality'],['attribute'],89,12
"['contagion', 'infection']",['communication'],90,13
['ethos'],['attribute'],91,12
"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']","['causal_agent', 'cause', 'causal_agency']",92,6
['display'],['communication'],93,13
"['vital_principle', 'life_principle']","['causal_agent', 'cause', 'causal_agency']",94,6
['shiner'],"['object', 'physical_object']",95,5
['je_ne_sais_quoi'],"['object', 'physical_object']",96,5
['arrangement'],"['group', 'grouping']",97,9
['ice'],"['object', 'physical_object']",98,5
"['draw', 'lot']","['object', 'physical_object']",99,5
"['psychic_communication', 'psychical_communication', 'anomalous_communication']",['communication'],100,13
['eidos'],['attribute'],101,12
['property'],['attribute'],102,12
['emanation'],['matter'],103,10
"['space', 'infinite']",['attribute'],104,12
['fluid'],['matter'],105,10
"['ribbon', 'thread']","['object', 'physical_object']",106,5
['head'],"['object', 'physical_object']",107,5
"['written_communication', 'written_language', 'black_and_white']",['communication'],108,13
"['makeweight', 'filler']","['object', 'physical_object']",109,5
['substance'],['matter'],110,10
['hoodoo'],"['object', 'physical_object']",111,5
['thing'],['attribute'],112,12
"['shape', 'form']",['attribute'],113,12
['uncheerfulness'],['attribute'],114,12
"['destiny', 'fate']","['causal_agent', 'cause', 'causal_agency']",115,6
['substance'],['matter'],116,10
['social_group'],"['group', 'grouping']",117,9
['ballast'],['attribute'],118,12
['commemorative'],"['object', 'physical_object']",119,5
['agent'],"['causal_agent', 'cause', 'causal_agency']",120,6
['deus_ex_machina'],"['causal_agent', 'cause', 'causal_agency']",121,6
"['first_cause', 'prime_mover', 'primum_mobile']","['causal_agent', 'cause', 'causal_agency']",122,6
"['operator', 'manipulator']","['causal_agent', 'cause', 'causal_agency']",123,6
['solid'],['matter'],124,10
['human_nature'],['attribute'],125,12
['growth'],"['object', 'physical_object']",126,5
['outdoorsman'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",127,92
['modern'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",128,92
"['candidate', 'prospect']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",129,92
"['charmer', 'beguiler']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",130,92
['clumsy_person'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",131,92
"['intellectual', 'intellect']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",132,92
['contestant'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",133,92
"['cliff', 'drop', 'drop-off']","['geological_formation', 'formation']",134,21
['nondescript'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",135,92
"['collector', 'aggregator']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",136,92
['assembly'],"['whole', 'unit']",137,84
"['weakling', 'doormat', 'wuss']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",138,92
"['food', 'nutrient']",['substance'],139,116
['friend'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",140,92
['sprawler'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",141,92
"['adversary', 'antagonist', 'opponent', 'opposer', 'resister']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",142,92
['substrate'],['substance'],143,110
['namer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",144,92
['withholder'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",145,92
['laugher'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",146,92
"['range', 'mountain_range', 'range_of_mountains', 'chain', 'mountain_chain', 'chain_of_mountains']","['geological_formation', 'formation']",147,21
['lightning_rod'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",148,92
['humectant'],['substance'],149,116
['groaner'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",150,92
['metabolite'],['substance'],151,116
['nurser'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",152,92
['round_shape'],"['shape', 'form']",153,113
['digestive'],['substance'],154,116
['atom'],['substance'],155,110
['nutrient'],['substance'],156,116
"['shaker', 'mover_and_shaker']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",157,92
"['planner', 'contriver', 'deviser']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",158,92
['glass'],['solid'],159,124
"['Cancer', 'Crab']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",160,92
"['pardoner', 'forgiver', 'excuser']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",161,92
['communicator'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",162,92
"['baldhead', 'baldpate', 'baldy']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",163,92
['life'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",164,92
['ancient'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",165,92
['complexifier'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",166,92
['abjurer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",167,92
['beard'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",168,92
['chutzpanik'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",169,92
['fastener'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",170,92
['nonresident'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",171,92
['counter'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",172,92
"['slope', 'incline', 'side']","['geological_formation', 'formation']",173,21
['neutral'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",174,92
"['transvestite', 'cross-dresser']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",175,92
['mixed-blood'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",176,92
"['dribbler', 'driveller', 'slobberer', 'drooler']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",177,92
"['skidder', 'slider', 'slipper']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",178,92
['indicator'],"['signal', 'signaling', 'sign']",179,83
['authority'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",180,92
"['money_handler', 'money_dealer']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",181,92
['color-blind_person'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",182,92
['acquirer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",183,92
['party'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",184,92
"['sentimentalist', 'romanticist']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",185,92
"['adulterant', 'adulterator']",['substance'],186,116
['plume'],"['shape', 'form']",187,113
['biter'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",188,92
['dyslectic'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",189,92
['medium'],['substance'],190,110
"['adventurer', 'venturer']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",191,92
['bather'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",192,92
"['child', 'baby']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",193,92
['gainer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",194,92
['curfew'],"['signal', 'signaling', 'sign']",195,83
"['redhead', 'redheader', 'red-header', 'carrottop']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",196,92
"['flower_arrangement', 'floral_arrangement']",['arrangement'],197,97
"['chemical_element', 'element']",['substance'],198,110
"['alarm', 'alert', 'warning_signal', 'alarum']","['signal', 'signaling', 'sign']",199,83
['liver'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",200,92
['pussycat'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",201,92
['drug'],['agent'],202,31
"['natural_depression', 'depression']","['geological_formation', 'formation']",203,21
['natural_object'],"['whole', 'unit']",204,84
['snuffer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",205,92
"['talus', 'scree']","['geological_formation', 'formation']",206,21
"['innocent', 'inexperienced_person']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",207,92
['bad_guy'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",208,92
['lakefront'],"['geological_formation', 'formation']",209,21
"['simpleton', 'simple']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",210,92
"['food', 'solid_food']",['solid'],211,124
"['owner', 'possessor']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",212,92
"['phone_number', 'telephone_number', 'number']","['signal', 'signaling', 'sign']",213,83
['guesser'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",214,92
['Victorian'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",215,92
['bad_person'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",216,92
"['engineer', 'applied_scientist', 'technologist']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",217,92
"['squinter', 'squint-eye']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",218,92
"['second-rater', 'mediocrity']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",219,92
['scientist'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",220,92
"['volcanic_crater', 'crater']","['geological_formation', 'formation']",221,21
['malcontent'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",222,92
['sneezer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",223,92
['beach'],"['geological_formation', 'formation']",224,21
['nonparticipant'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",225,92
['ice_mass'],"['geological_formation', 'formation']",226,21
['fluid'],['substance'],227,110
"['acquaintance', 'friend']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",228,92
"['actor', 'doer', 'worker']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",229,92
['censor'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",230,92
"['changer', 'modifier']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",231,92
"['baby_buster', 'buster']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",232,92
['pyrogen'],['substance'],233,116
['native'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",234,92
['interpreter'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",235,92
"['component', 'constituent', 'element']","['part', 'portion']",236,70
['tapper'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",237,92
['termer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",238,92
['partner'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",239,92
['convert'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",240,92
['visually_impaired_person'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",241,92
"['insured', 'insured_person']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",242,92
"['killer', 'slayer']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",243,92
['sniffer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",244,92
['watcher'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",245,92
['optimist'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",246,92
['stranger'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",247,92
"['rescuer', 'recoverer', 'saver']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",248,92
"['bodybuilder', 'muscle_builder', 'muscle-builder', 'musclebuilder', 'muscleman']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",249,92
['sport'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",250,92
['arrogator'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",251,92
"['flare', 'flair']","['shape', 'form']",252,113
"[""philosopher's_stone"", ""philosophers'_stone"", 'elixir']",['substance'],253,116
"['Aries', 'Ram']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",254,92
"['water_table', 'water_level', 'groundwater_level']","['geological_formation', 'formation']",255,21
"['Black', 'Black_person', 'blackamoor', 'Negro', 'Negroid']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",256,92
['sex_symbol'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",257,92
['warrior'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",258,92
"['thin_person', 'skin_and_bones', 'scrag']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",259,92
"['linguist', 'polyglot']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",260,92
"['transsexual', 'transexual']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",261,92
"['wiggler', 'wriggler', 'squirmer']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",262,92
['demander'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",263,92
['contemplative'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",264,92
['showman'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",265,92
"['male', 'male_person']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",266,92
['registrant'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",267,92
"['socializer', 'socialiser']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",268,92
['massif'],"['geological_formation', 'formation']",269,21
['leader'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",270,92
['mesomorph'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",271,92
['scratcher'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",272,92
['wall'],"['geological_formation', 'formation']",273,21
"['adult', 'grownup']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",274,92
['autodidact'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",275,92
['fuel'],['substance'],276,116
['folium'],"['geological_formation', 'formation']",277,21
"['defecator', 'voider', 'shitter']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",278,92
"['longer', 'thirster', 'yearner']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",279,92
['amateur'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",280,92
['antigen'],['substance'],281,116
"['Libra', 'Balance']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",282,92
['romper'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",283,92
['grinner'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",284,92
"['propellant', 'propellent']",['substance'],285,116
"['domestic_partner', 'significant_other', 'spousal_equivalent', 'spouse_equivalent']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",286,92
"['radio_beam', 'beam']","['signal', 'signaling', 'sign']",287,83
['street_sign'],['sign'],288,67
['ethnic'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",289,92
"['plane', 'sheet']","['shape', 'form']",290,113
['waker'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",291,92
['huddler'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",292,92
"['Gemini', 'Twin']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",293,92
"['terror', 'scourge', 'threat']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",294,92
['creator'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",295,92
"['whistle', 'whistling']","['signal', 'signaling', 'sign']",296,83
['face'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",297,92
['aquifer'],"['geological_formation', 'formation']",298,21
['divider'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",299,92
['item'],"['whole', 'unit']",300,84
['compulsive'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",301,92
['hope'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",302,92
['granter'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",303,92
['dieter'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",304,92
['large_person'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",305,92
['man'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",306,92
['knocker'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",307,92
['inhibitor'],['substance'],308,116
['yawner'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",309,92
"['creature', 'wight']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",310,92
"['pyrogen', 'pyrectic']",['substance'],311,116
['triangle'],"['shape', 'form']",312,113
['retreat'],"['signal', 'signaling', 'sign']",313,83
"['organization', 'organisation']",['social_group'],314,117
['lysin'],['substance'],315,116
"['achiever', 'winner', 'success', 'succeeder']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",316,92
['good_person'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",317,92
"['anomaly', 'unusual_person']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",318,92
['vitrification'],['solid'],319,124
"['right-hander', 'right_hander', 'righthander']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",320,92
['six-footer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",321,92
['circle'],"['shape', 'form']",322,113
"['surrenderer', 'yielder']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",323,92
['adoptee'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",324,92
['handicapped_person'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",325,92
['quarter'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",326,92
"['testator', 'testate']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",327,92
['faddist'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",328,92
['sort'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",329,92
['worldling'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",330,92
"['restrainer', 'controller']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",331,92
['assay'],['substance'],332,116
['kneeler'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",333,92
"['nude', 'nude_person']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",334,92
['cashier'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",335,92
"['Sagittarius', 'Archer']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",336,92
"['perspirer', 'sweater']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",337,92
['gatekeeper'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",338,92
['mother_hen'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",339,92
"['taxonomic_group', 'taxonomic_category', 'taxon']",['biological_group'],340,22
['individualist'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",341,92
['posturer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",342,92
['entertainer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",343,92
['computer_user'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",344,92
"['commoner', 'common_man', 'common_person']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",345,92
"['distress_signal', 'distress_call']","['signal', 'signaling', 'sign']",346,83
"['juvenile', 'juvenile_person']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",347,92
"['nonperson', 'unperson']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",348,92
['piece'],"['part', 'portion']",349,70
"['crawler', 'creeper']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",350,92
"['bereaved', 'bereaved_person']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",351,92
['expert'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",352,92
['riser'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",353,92
['sensualist'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",354,92
['smasher'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",355,92
['weasel'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",356,92
['medium'],['substance'],357,110
"['captor', 'capturer']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",358,92
['philosopher'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",359,92
['nonmember'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",360,92
"['ouster', 'ejector']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",361,92
['tempter'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",362,92
"['nonpartisan', 'nonpartizan']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",363,92
['homunculus'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",364,92
"['seeker', 'searcher', 'quester']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",365,92
['powderer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",366,92
"['White', 'White_person', 'Caucasian']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",367,92
"['spring', 'fountain', 'outflow', 'outpouring', 'natural_spring']","['geological_formation', 'formation']",368,21
"['reliever', 'allayer', 'comforter']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",369,92
['segregate'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",370,92
"['seeder', 'cloud_seeder']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",371,92
['hugger'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",372,92
['married'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",373,92
['visionary'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",374,92
"['Pisces', 'Fish']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",375,92
"['person_of_color', 'person_of_colour']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",376,92
"['stifler', 'smotherer']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",377,92
"['jewel', 'gem']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",378,92
"['Jew', 'Hebrew', 'Israelite']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",379,92
"['perceiver', 'percipient', 'observer', 'beholder']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",380,92
"['artifact', 'artefact']","['whole', 'unit']",381,84
"['unfortunate', 'unfortunate_person']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",382,92
"['native', 'indigen', 'indigene', 'aborigine', 'aboriginal']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",383,92
"['alluvial_sediment', 'alluvial_deposit', 'alluvium', 'alluvion']","['sediment', 'deposit']",384,59
['all_clear'],"['signal', 'signaling', 'sign']",385,83
['delayer'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",386,92
['bluecoat'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",387,92
"['wanter', 'needer']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",388,92
"['sniffler', 'sniveler']","['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",389,92
['personification'],"['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']",390,92
"['telegraphic_signal', 'radiotelegraphic_signal']","['signal', 'signaling', 'sign']",391,83
